Attribute,Value,Date_GBP,Date_usd,Date_EUR,Day Name_fOR_USD,Day_ Name_EUR,Day_Name_GBP
USD,95.079,13/07/2012,27/03/2012,09/07/2012,Tuesday,Monday,Friday
USD,95.081,18/07/2012,02/04/2012,12/07/2012,Monday,Thursday,Wednesday
USD,95.082,20/07/2012,05/04/2012,16/07/2012,Thursday,Monday,Friday
USD,95.082,19/07/2012,03/04/2012,13/07/2012,Tuesday,Friday,Thursday
USD,95.083,23/07/2012,09/04/2012,17/07/2012,Monday,Tuesday,Monday
USD,95.084,24/07/2012,10/04/2012,18/07/2012,Tuesday,Wednesday,Tuesday
USD,95.084,25/07/2012,11/04/2012,19/07/2012,Wednesday,Thursday,Wednesday
USD,95.085,27/07/2012,13/04/2012,23/07/2012,Friday,Monday,Friday
USD,95.085,26/07/2012,12/04/2012,20/07/2012,Thursday,Friday,Thursday
USD,95.087,02/08/2012,20/04/2012,27/07/2012,Friday,Friday,Thursday
USD,95.087,01/08/2012,19/04/2012,26/07/2012,Thursday,Thursday,Wednesday
USD,95.087,30/07/2012,17/04/2012,24/07/2012,Tuesday,Tuesday,Monday
USD,95.087,31/07/2012,18/04/2012,25/07/2012,Wednesday,Wednesday,Tuesday
USD,95.089,03/08/2012,23/04/2012,30/07/2012,Monday,Monday,Friday
USD,95.09,06/08/2012,24/04/2012,31/07/2012,Tuesday,Tuesday,Monday
USD,95.09,07/08/2012,25/04/2012,01/08/2012,Wednesday,Wednesday,Tuesday
USD,95.091,08/08/2012,27/04/2012,02/08/2012,Friday,Thursday,Wednesday
USD,95.092,09/08/2012,30/04/2012,03/08/2012,Monday,Friday,Thursday
USD,95.093,10/08/2012,02/05/2012,06/08/2012,Wednesday,Monday,Friday
USD,95.095,14/08/2012,04/05/2012,08/08/2012,Friday,Wednesday,Tuesday
USD,95.095,13/08/2012,03/05/2012,07/08/2012,Thursday,Tuesday,Monday
USD,95.097,15/08/2012,08/05/2012,09/08/2012,Tuesday,Thursday,Wednesday
USD,95.097,16/08/2012,09/05/2012,10/08/2012,Wednesday,Friday,Thursday
USD,95.098,17/08/2012,10/05/2012,13/08/2012,Thursday,Monday,Friday
USD,95.1,27/08/2012,18/05/2012,17/08/2012,Friday,Friday,Monday
USD,95.1,24/08/2012,17/05/2012,16/08/2012,Thursday,Thursday,Friday
USD,95.1,20/08/2012,15/05/2012,14/08/2012,Tuesday,Tuesday,Monday
USD,95.1,23/08/2012,16/05/2012,15/08/2012,Wednesday,Wednesday,Thursday
USD,95.101,28/08/2012,21/05/2012,20/08/2012,Monday,Monday,Tuesday
USD,95.103,29/08/2012,23/05/2012,23/08/2012,Wednesday,Thursday,Wednesday
USD,95.104,03/09/2012,25/05/2012,27/08/2012,Friday,Monday,Monday
USD,95.104,30/08/2012,24/05/2012,24/08/2012,Thursday,Friday,Thursday
USD,95.105,04/09/2012,28/05/2012,28/08/2012,Monday,Tuesday,Tuesday
USD,95.106,05/09/2012,29/05/2012,29/08/2012,Tuesday,Wednesday,Wednesday
USD,95.107,10/09/2012,01/06/2012,03/09/2012,Friday,Monday,Monday
USD,95.107,07/09/2012,31/05/2012,30/08/2012,Thursday,Thursday,Friday
USD,95.108,11/09/2012,04/06/2012,04/09/2012,Monday,Tuesday,Tuesday
USD,95.11,14/09/2012,07/06/2012,10/09/2012,Thursday,Monday,Friday
USD,95.11,12/09/2012,05/06/2012,05/09/2012,Tuesday,Wednesday,Wednesday
USD,95.11,13/09/2012,06/06/2012,07/09/2012,Wednesday,Friday,Thursday
USD,95.112,18/09/2012,11/06/2012,11/09/2012,Monday,Tuesday,Tuesday
USD,95.113,19/09/2012,12/06/2012,12/09/2012,Tuesday,Wednesday,Wednesday
USD,95.113,20/09/2012,13/06/2012,13/09/2012,Wednesday,Thursday,Thursday
USD,95.115,24/09/2012,15/06/2012,18/09/2012,Friday,Tuesday,Monday
USD,95.115,21/09/2012,14/06/2012,14/09/2012,Thursday,Friday,Friday
USD,95.116,25/09/2012,18/06/2012,19/09/2012,Monday,Wednesday,Tuesday
USD,95.116,26/09/2012,19/06/2012,20/09/2012,Tuesday,Thursday,Wednesday
USD,95.116,27/09/2012,20/06/2012,21/09/2012,Wednesday,Friday,Thursday
USD,95.117,01/10/2012,22/06/2012,25/09/2012,Friday,Tuesday,Monday
USD,95.117,28/09/2012,21/06/2012,24/09/2012,Thursday,Monday,Friday
USD,95.118,02/10/2012,25/06/2012,26/09/2012,Monday,Wednesday,Tuesday
USD,95.12,03/10/2012,27/06/2012,27/09/2012,Wednesday,Thursday,Wednesday
USD,95.121,04/10/2012,29/06/2012,28/09/2012,Friday,Friday,Thursday
USD,95.122,05/10/2012,02/07/2012,01/10/2012,Monday,Monday,Friday
USD,95.124,08/10/2012,03/07/2012,02/10/2012,Tuesday,Tuesday,Monday
USD,95.124,09/10/2012,04/07/2012,03/10/2012,Wednesday,Wednesday,Tuesday
USD,95.125,11/10/2012,06/07/2012,05/10/2012,Friday,Friday,Thursday
USD,95.125,10/10/2012,05/07/2012,04/10/2012,Thursday,Thursday,Wednesday
USD,95.127,12/10/2012,09/07/2012,08/10/2012,Monday,Monday,Friday
USD,95.128,15/10/2012,10/07/2012,09/10/2012,Tuesday,Tuesday,Monday
USD,95.128,16/10/2012,11/07/2012,10/10/2012,Wednesday,Wednesday,Tuesday
USD,95.129,18/10/2012,13/07/2012,12/10/2012,Friday,Friday,Thursday
