Attribute,Value,Year,Month,Year,Month,Year,Month
EUR,98.401,2009,February,2009,February,2008,October
EUR,98.41082,2006,January,2006,January,2006,January
EUR,98.4351,2004,May,2004,May,2004,May
EUR,98.45163,2004,March,2004,March,2004,March
EUR,98.45741,2006,January,2006,January,2006,January
EUR,98.51732,2006,April,2006,April,2006,April
EUR,98.518,2009,March,2009,March,2008,December
EUR,98.5383,2004,March,2004,March,2004,March
EUR,98.55027,2006,April,2006,April,2006,March
EUR,98.6245,2004,May,2004,May,2004,May
EUR,98.65774,2004,May,2004,May,2004,May
EUR,98.6935,2004,April,2004,April,2004,April
EUR,98.72601,2004,March,2004,March,2004,March
EUR,98.736,2009,March,2009,March,2008,December
EUR,98.747,2008,October,2008,October,2008,August
EUR,98.7528,2004,March,2004,March,2004,March
EUR,98.77704,2004,May,2004,May,2004,May
EUR,98.779,2004,January,2004,January,2004,January
EUR,98.802,2009,January,2009,January,2008,October
EUR,98.869,2009,January,2009,January,2008,September
EUR,98.87989,2004,March,2004,March,2004,March
EUR,98.96291,2004,May,2004,May,2004,May
EUR,98.97368,2006,April,2006,April,2006,April
EUR,99.004,2009,January,2009,January,2008,September
EUR,99.09603,2004,March,2004,March,2004,March
EUR,99.10083,2006,April,2006,April,2006,April
EUR,99.10496,2004,March,2004,March,2004,March
EUR,99.117,2009,January,2009,February,2008,October
EUR,99.13635,2004,April,2004,April,2004,March
EUR,99.14988,2004,February,2004,February,2004,February
EUR,99.24454,2006,April,2006,April,2006,April
EUR,99.27108,2004,March,2004,March,2004,February
EUR,99.32992,2006,April,2006,April,2006,April
EUR,99.338,2007,June,2007,June,2007,May
EUR,99.38258,2004,May,2004,May,2004,May
EUR,99.38425,2004,March,2004,March,2004,March
EUR,99.38431,2004,January,2004,January,2004,January
EUR,99.442,2007,June,2007,June,2007,May
EUR,99.44684,2004,May,2004,May,2004,May
EUR,99.47335,2006,April,2006,April,2006,April
EUR,99.585,2007,June,2007,June,2007,May
EUR,99.60576,2004,April,2004,April,2004,April
EUR,99.63768,2004,March,2004,March,2004,March
EUR,99.68881,2004,February,2004,February,2004,February
EUR,99.68994,2004,January,2004,January,2004,January
EUR,99.71356,2006,April,2006,May,2006,April
EUR,99.75759,2004,May,2004,May,2004,May
EUR,99.763,2009,January,2009,January,2008,September
EUR,99.77018,2004,January,2004,January,2004,January
EUR,99.77371,2004,April,2004,April,2004,April
EUR,99.81668,2004,January,2004,January,2004,January
EUR,99.821,2009,April,2009,April,2008,December
EUR,99.82402,2004,January,2004,January,2004,January
EUR,99.83149,2004,February,2004,February,2004,February
EUR,99.869,2007,June,2007,June,2007,May
EUR,99.884,2007,June,2007,June,2007,May
EUR,99.899,2008,October,2008,October,2008,August
EUR,99.91883,2004,January,2004,January,2004,January
EUR,99.9242,2004,June,2004,June,2004,June
EUR,99.93,2009,March,2009,April,2008,December
EUR,99.93024,2004,May,2004,May,2004,May
EUR,99.961,2009,April,2009,April,2008,December
EUR,99.98517,2004,June,2004,June,2004,June
EUR,100.01167,2004,June,2004,June,2004,June
EUR,100.02311,2006,October,2006,October,2006,October
EUR,100.03638,2005,November,2005,November,2005,November
EUR,100.063,2007,June,2007,June,2007,May
EUR,100.127,2009,April,2009,April,2009,January
EUR,100.141,2009,April,2009,April,2009,January
EUR,100.17043,2006,July,2006,July,2006,July
EUR,100.213,2007,June,2007,June,2007,May
EUR,100.22,2007,June,2007,June,2007,May
EUR,100.23009,2004,February,2004,February,2004,February
EUR,100.23447,2004,February,2004,February,2004,February
EUR,100.26577,2004,June,2004,June,2004,June
EUR,100.29095,2004,January,2004,January,2004,January
EUR,100.317,2007,June,2007,June,2007,May
EUR,100.32148,2004,February,2004,February,2004,February
EUR,100.329,2007,June,2007,June,2007,May
EUR,100.331,2009,January,2009,January,2008,September
EUR,100.33175,2004,January,2004,January,2004,January
EUR,100.38126,2006,June,2006,June,2006,June
EUR,100.429,2009,April,2009,April,2009,January
EUR,100.43661,2004,June,2004,June,2004,June
EUR,100.478,2007,May,2007,June,2007,May
EUR,100.48762,2005,November,2005,November,2005,October
EUR,100.4898,2006,May,2006,May,2006,April
EUR,100.49121,2006,July,2006,July,2006,July
EUR,100.50125,2004,January,2004,January,2004,January
