DATE _GBP_FILTER,(All),,
DATE_EUR_FILTER,(All),,
DATE_USD_FILTER,(All),,
,,,
Row Labels,Sum of USD,Sum of GBP,Sum of EUR
02/07/2004,85.81363,154.54384,105.57032
03/07/2004,85.95627,154.8198,106.16535
04/07/2004,86.23617,155.14669,106.068
05/07/2004,86.23617,156.37876,106.8539
06/07/2004,86.36053,156.86729,106.59711
07/07/2004,86.80957,157.711,107.01631
08/07/2004,86.89746,156.8187,106.8257
09/07/2004,86.96978,155.6393,106.70108
10/07/2004,86.68806,154.73744,106.94136
11/07/2004,86.60099,155.49125,107.1555
12/07/2004,86.30567,154.77774,106.60712
13/07/2004,86.71644,154.30683,106.4188
14/07/2004,86.77828,154.63773,106.76292
15/07/2004,86.73796,155.3241,107.18119
16/07/2004,86.85561,156.02869,107.73658
17/07/2004,86.88488,154.83385,106.50676
18/07/2004,86.85632,155.63099,107.02943
19/07/2004,86.65427,156.12171,107.22521
20/07/2004,86.88159,156.83235,108.50332
21/07/2004,86.77285,156.83235,108.50332
22/07/2004,86.96964,156.53454,108.77028
23/07/2004,86.96964,157.08985,109.30368
24/07/2004,87.0023,158.97794,109.73052
25/07/2004,86.85235,159.05075,109.84312
26/07/2004,86.96348,160.31789,111.3814
27/07/2004,86.97001,159.4533,110.97047
28/07/2004,86.98274,159.34565,110.67863
29/07/2004,86.82456,158.83363,110.47144
30/07/2004,86.76594,159.26912,110.87795
31/07/2004,86.84179,159.21718,110.72124
01/08/2004,86.95628,159.82057,110.37998
02/08/2004,86.89471,160.09486,111.17482
03/08/2004,86.78354,159.93246,111.69914
04/08/2004,86.81463,161.61961,112.58211
05/08/2004,86.8443,161.07064,112.07257
06/08/2004,86.86891,161.20747,112.06393
07/08/2004,86.89143,160.04969,111.89092
08/08/2004,86.8107,160.70281,112.25201
09/08/2004,86.66325,160.52149,112.41874
10/08/2004,86.62757,161.03283,112.91973
11/08/2004,86.6092,160.84329,112.93271
12/08/2004,86.67465,160.5594,112.612
13/08/2004,86.46559,160.27429,112.66909
14/08/2004,86.43844,160.5809,112.25878
15/08/2004,86.42919,162.13395,113.67615
16/08/2004,86.45932,162.81912,113.96734
17/08/2004,86.43917,163.49012,114.37303
18/08/2004,86.37161,163.21728,114.68271
19/08/2004,86.48898,164.01177,114.79785
20/08/2004,86.46815,167.11667,115.49946
21/08/2004,86.56802,167.68471,115.49633
22/08/2004,86.67877,166.55581,114.97209
23/08/2004,86.53355,167.64,116.03788
24/08/2004,87.04102,168.43723,116.31321
25/08/2004,86.60798,166.5347,114.67544
26/08/2004,86.3056,165.25951,114.66793
27/08/2004,86.42682,163.46111,113.02085
28/08/2004,86.5475,164.11126,113.69055
29/08/2004,86.27487,163.39053,112.91747
30/08/2004,85.79735,163.98986,113.22583
31/08/2004,85.60391,166.06677,114.53175
01/09/2004,84.84294,165.39176,113.53344
02/09/2004,85.07463,165.91905,113.96589
03/09/2004,85.40772,164.9667,114.22742
04/09/2004,85.36349,164.59258,114.16022
05/09/2004,85.32297,164.27143,114.91312
06/09/2004,85.39091,164.04733,115.29359
07/09/2004,85.39174,164.25391,115.49343
08/09/2004,85.42456,165.62204,116.46247
09/09/2004,85.42797,164.52283,116.32004
10/09/2004,85.37993,164.1256,116.36242
11/09/2004,85.42062,164.61574,116.49059
12/09/2004,85.35998,161.1385,113.49785
13/09/2004,85.42869,160.36773,113.02531
14/09/2004,85.51023,161.59607,113.61178
15/09/2004,85.68462,161.18843,112.62017
16/09/2004,85.70315,162.67427,113.94296
17/09/2004,85.85489,162.77849,113.75469
18/09/2004,86.06815,163.82005,115.02591
19/09/2004,86.55649,162.54314,113.9261
20/09/2004,86.87543,161.98825,113.6653
21/09/2004,86.88414,162.49378,113.4025
22/09/2004,86.84716,163.2595,113.62395
23/09/2004,86.83369,162.22459,112.48047
24/09/2004,86.87184,162.24727,112.49619
25/09/2004,86.88175,163.39048,113.64558
26/09/2004,86.90448,163.48147,113.398
27/09/2004,86.91663,163.38933,113.26996
28/09/2004,86.84516,163.99355,113.38212
29/09/2004,86.87505,163.31457,112.78673
30/09/2004,86.81686,163.33566,113.24768
01/10/2004,86.97616,164.19646,113.61292
02/10/2004,86.8325,163.72918,112.95384
03/10/2004,86.91303,162.5528,111.70776
04/10/2004,86.97307,161.85482,111.18934
05/10/2004,86.91431,161.55307,111.09216
06/10/2004,86.95918,162.4454,111.83497
07/10/2004,86.93459,164.1359,112.99349
08/10/2004,86.85182,164.06287,112.95847
09/10/2004,86.92963,164.60378,113.21677
10/10/2004,86.99168,164.23864,113.46559
11/10/2004,86.97141,164.4683,113.3851
12/10/2004,87.02288,164.80769,113.44752
13/10/2004,86.94015,165.75451,114.47106
14/10/2004,86.8319,165.57939,114.76754
15/10/2004,86.85975,165.32584,115.05609
16/10/2004,86.89165,165.65725,114.36792
17/10/2004,86.87271,167.1939,115.21027
18/10/2004,86.82168,166.86659,114.69745
19/10/2004,86.81336,165.7664,113.81029
20/10/2004,86.88557,165.78754,114.17214
21/10/2004,86.8328,165.42377,113.79337
22/10/2004,86.82506,166.38823,114.81187
23/10/2004,86.83613,167.33461,116.11363
24/10/2004,86.7592,167.41789,116.62917
25/10/2004,86.81427,166.63424,116.51881
26/10/2004,86.85939,166.66248,116.46566
27/10/2004,86.80349,166.17489,116.05576
28/10/2004,86.91542,166.86755,116.08027
29/10/2004,86.87577,167.29567,116.27383
30/10/2004,86.86158,166.84363,116.02963
31/10/2004,86.86042,165.76523,114.79664
01/11/2004,86.87525,164.92876,114.45491
02/11/2004,86.86153,163.5558,113.30851
03/11/2004,86.88816,162.51913,112.98535
04/11/2004,86.91898,161.98841,112.30431
05/11/2004,86.93303,162.92911,112.44134
06/11/2004,86.93187,163.34007,112.67049
07/11/2004,86.9363,163.46323,112.60318
08/11/2004,86.92798,164.0826,112.70627
09/11/2004,86.89688,162.98938,111.46185
10/11/2004,86.92541,163.63407,112.06586
11/11/2004,86.93118,163.35057,112.34318
12/11/2004,86.93694,162.61187,111.61803
13/11/2004,86.9469,164.28521,112.76299
14/11/2004,86.93947,164.54699,112.93856
15/11/2004,86.91639,164.64383,112.51966
16/11/2004,86.92799,163.87992,111.57467
17/11/2004,86.95608,164.09883,111.87171
18/11/2004,86.97508,165.37389,113.03465
19/11/2004,86.94356,166.1037,113.20781
20/11/2004,87.0597,166.71604,113.539
21/11/2004,87.04347,166.83811,114.17901
22/11/2004,87.04276,167.09622,114.11854
23/11/2004,87.08982,167.19317,113.45594
24/11/2004,87.21281,166.98787,113.72201
25/11/2004,87.74319,166.98758,113.54804
26/11/2004,87.30666,167.15705,113.46908
27/11/2004,87.4487,168.14298,113.94784
28/11/2004,87.57952,167.2071,113.71532
29/11/2004,87.86508,168.23479,114.63669
30/11/2004,87.79718,168.53452,114.51444
01/12/2004,87.93629,168.21911,114.84437
02/12/2004,88.34316,167.13597,113.88369
03/12/2004,88.57726,166.94594,113.97544
04/12/2004,88.32583,167.76084,114.48172
05/12/2004,88.66237,165.72249,113.30777
06/12/2004,88.7982,165.32944,112.44993
07/12/2004,88.87667,165.23489,112.38562
08/12/2004,88.82815,163.05911,112.10868
09/12/2004,88.77832,162.68836,111.97466
10/12/2004,88.7389,163.18468,112.3475
11/12/2004,88.68815,163.06927,112.10791
12/12/2004,88.68656,162.01978,111.2511
13/12/2004,88.70685,162.3315,111.60014
14/12/2004,88.72108,161.71169,111.3525
15/12/2004,88.72104,161.80278,111.18173
16/12/2004,88.70991,161.9331,111.20086
17/12/2004,88.6912,161.55554,109.51307
18/12/2004,88.69176,161.26434,108.79169
19/12/2004,88.74659,161.59997,109.13152
20/12/2004,88.75478,161.7409,109.03831
21/12/2004,88.84,162.63515,109.27604
22/12/2004,88.8313,163.11546,109.47751
23/12/2004,88.86932,162.12728,108.53214
24/12/2004,88.82958,161.81152,108.65351
25/12/2004,88.81343,160.93393,107.5619
26/12/2004,88.77515,160.92574,107.99526
27/12/2004,88.86608,160.8691,107.19566
28/12/2004,88.87813,161.80325,107.4035
29/12/2004,88.89413,161.8084,107.59365
30/12/2004,88.9289,162.38886,108.63568
31/12/2004,88.95167,162.0836,107.90157
01/01/2005,88.91754,162.862,108.34041
02/01/2005,88.92037,161.99493,107.57844
03/01/2005,88.92173,161.80184,107.17092
04/01/2005,88.93964,162.53526,108.24711
05/01/2005,88.95674,161.80099,107.67755
06/01/2005,88.97398,161.45575,107.11823
07/01/2005,88.97544,160.96843,107.55844
08/01/2005,88.96779,158.65498,107.61426
09/01/2005,88.9603,156.64853,106.02778
10/01/2005,88.96124,156.00126,105.7417
11/01/2005,88.97216,156.21953,106.08586
12/01/2005,88.95211,155.82842,106.15727
13/01/2005,88.96441,154.51125,105.86338
14/01/2005,88.97072,154.95339,106.92362
15/01/2005,88.96835,156.93075,108.13513
16/01/2005,88.96855,157.62294,108.52814
17/01/2005,88.9683,156.71947,107.48995
18/01/2005,88.97697,156.62687,107.73658
19/01/2005,88.97814,155.3764,107.26168
20/01/2005,88.97208,154.88446,106.77054
21/01/2005,88.97438,154.52073,107.30508
22/01/2005,88.97232,155.3803,108.27864
23/01/2005,88.96954,156.07984,108.31809
24/01/2005,88.96804,154.5278,107.15873
25/01/2005,88.96864,154.46265,106.86929
26/01/2005,88.97177,154.65384,106.73268
27/01/2005,88.97494,155.43172,107.48269
28/01/2005,88.97271,156.12841,107.80613
29/01/2005,88.97618,157.20088,108.64452
30/01/2005,88.97356,157.54283,108.64378
31/01/2005,88.97574,157.34509,108.49729
01/02/2005,89.0077,158.18215,109.76394
02/02/2005,88.97995,158.17088,110.07988
03/02/2005,88.97206,158.77564,110.04411
04/02/2005,88.97596,159.10793,110.3159
05/02/2005,88.97134,159.27118,110.18458
06/02/2005,88.97501,160.43744,110.38694
07/02/2005,88.97486,161.30789,110.94479
08/02/2005,88.97161,161.09115,110.20293
09/02/2005,88.97334,160.68675,109.75181
10/02/2005,88.97867,160.37941,109.37061
11/02/2005,89.01219,160.47705,109.10412
12/02/2005,88.98097,160.47705,109.10412
13/02/2005,88.86067,159.39172,108.21203
14/02/2005,88.91197,160.16844,108.7067
15/02/2005,88.92666,159.97106,108.87463
16/02/2005,88.9463,159.49549,108.21955
17/02/2005,88.94627,160.79562,109.51043
18/02/2005,88.97258,160.7966,109.51109
19/02/2005,88.97167,160.69859,109.68288
20/02/2005,88.97439,159.51702,108.69366
21/02/2005,88.975,158.73788,108.76748
22/02/2005,88.97554,160.38915,109.78818
23/02/2005,88.97054,163.45924,111.61854
24/02/2005,88.97647,164.3924,111.56438
25/02/2005,88.97863,163.8409,110.91494
26/02/2005,88.97656,163.80615,111.05789
27/02/2005,88.98162,163.50362,110.60408
28/02/2005,88.981,163.59457,110.60541
01/03/2005,88.9811,162.89481,109.68215
02/03/2005,88.98156,162.13775,109.46812
03/03/2005,88.98156,162.34035,109.16418
04/03/2005,88.98263,160.93805,108.75732
05/03/2005,88.98438,161.13121,109.2329
06/03/2005,88.984,160.23414,107.95873
07/03/2005,88.98287,160.7466,108.14914
08/03/2005,88.98488,160.79621,108.5648
09/03/2005,88.97361,160.97325,108.70655
10/03/2005,88.97942,158.82008,107.82575
11/03/2005,88.98234,157.81166,107.25747
12/03/2005,88.98025,157.31684,106.895
13/03/2005,88.97974,157.40714,106.96994
14/03/2005,88.97982,157.07346,107.25167
15/03/2005,88.98819,156.51631,106.98099
16/03/2005,88.99018,156.83886,107.00637
17/03/2005,88.98589,156.40461,106.2067
18/03/2005,88.98338,156.86315,106.33734
19/03/2005,88.98028,157.69236,107.33509
20/03/2005,88.98659,157.44615,108.18249
21/03/2005,88.9876,156.79872,107.99712
22/03/2005,88.98522,155.64052,107.00564
23/03/2005,88.98615,154.91731,106.42556
24/03/2005,88.98782,155.50517,106.61229
25/03/2005,88.98906,156.1495,106.81994
26/03/2005,88.99338,157.04154,107.43683
27/03/2005,88.99202,155.66492,106.62882
28/03/2005,88.97704,155.5274,105.86072
29/03/2005,88.89809,156.52683,106.40482
30/03/2005,88.94514,157.93004,106.96595
31/03/2005,88.9463,156.8427,105.94649
01/04/2005,88.9287,156.62598,105.96096
02/04/2005,88.90034,158.18098,107.39754
03/04/2005,88.84953,157.86053,107.30059
04/04/2005,88.76214,155.8528,106.2299
05/04/2005,88.7148,154.07667,104.49176
06/04/2005,88.61183,153.38045,103.95738
07/04/2005,88.42241,151.08665,102.49755
08/04/2005,87.41043,148.59814,100.48762
09/04/2005,86.53562,147.84565,100.03638
10/04/2005,86.63115,144.8817,98.05488
11/04/2005,85.10965,145.16208,98.02396
12/04/2005,84.15344,142.598,96.09954
13/04/2005,84.63315,140.04279,94.25494
14/04/2005,83.51493,140.02824,94.29289
15/04/2005,83.28289,139.95992,94.55813
16/04/2005,81.64787,138.36703,94.03897
17/04/2005,80.21697,138.36703,94.03897
18/04/2005,80.63356,138.3474,94.02563
19/04/2005,80.743,138.60425,95.30453
20/04/2005,80.58181,138.30758,94.54456
21/04/2005,,138.96112,95.37512
22/04/2005,80.57038,138.76918,95.11272
23/04/2005,80.60261,138.55463,94.73353
24/04/2005,80.58004,137.56307,94.2332
25/04/2005,80.58053,138.97628,95.29342
26/04/2005,80.57669,138.5459,94.9778
27/04/2005,80.58313,138.53935,94.97331
28/04/2005,80.56874,138.53703,94.97172
29/04/2005,80.56596,138.53852,94.97275
30/04/2005,80.59211,138.54994,94.98057
01/05/2005,80.5883,139.86199,94.77511
02/05/2005,80.58695,139.86907,94.77991
03/05/2005,80.58782,139.87655,94.78498
04/05/2005,80.59446,139.87865,94.7864
05/05/2005,80.58423,139.87657,94.78499
06/05/2005,80.58831,143.2148,96.89221
07/05/2005,80.59262,142.79607,96.73932
08/05/2005,80.59383,142.79962,96.74172
09/05/2005,80.59263,142.79856,96.741
10/05/2005,80.58905,141.9391,96.47958
11/05/2005,80.58924,141.58774,95.73491
12/05/2005,80.59124,140.52022,95.31329
13/05/2005,80.59064,140.5082,95.30514
14/05/2005,80.58769,140.50121,95.3004
15/05/2005,80.58494,140.16684,96.07665
16/05/2005,80.58276,138.87629,95.53335
17/05/2005,80.57587,139.08072,95.61346
18/05/2005,80.57186,139.60408,95.78792
19/05/2005,80.57418,141.52981,97.43923
20/05/2005,80.57806,141.40186,97.46657
21/05/2005,80.58446,142.44152,97.52484
22/05/2005,80.58886,142.19253,97.25023
23/05/2005,80.5749,141.49305,96.89093
24/05/2005,80.57086,141.68129,97.4119
25/05/2005,80.53914,141.43766,96.70896
26/05/2005,80.49849,142.44362,97.42258
27/05/2005,80.32076,141.71955,97.20251
28/05/2005,80.22723,141.28966,96.90404
29/05/2005,80.21646,141.34105,97.07221
30/05/2005,80.22281,140.90709,96.91224
31/05/2005,80.23981,143.00951,98.45741
01/06/2005,80.2053,142.82959,98.41082
02/06/2005,80.21171,143.19373,98.15447
03/06/2005,80.23865,142.63541,97.91048
04/06/2005,80.23865,142.05157,
05/06/2005,80.21624,142.31017,96.98677
06/06/2005,80.17828,142.52775,96.19321
07/06/2005,80.19811,140.86427,96.8573
08/06/2005,80.19533,140.09814,96.1732
09/06/2005,80.20075,139.70049,96.06294
10/06/2005,80.14765,139.67671,95.97444
11/06/2005,80.17988,139.85989,95.98465
12/06/2005,80.17774,139.27654,95.94927
13/06/2005,80.16602,139.06728,95.46154
14/06/2005,80.17245,139.32135,95.46096
15/06/2005,80.1542,139.83035,95.23485
16/06/2005,80.15812,139.8438,95.90291
17/06/2005,80.15916,139.88129,95.46829
18/06/2005,80.15867,140.5289,95.42389
19/06/2005,80.15727,139.62332,95.48944
20/06/2005,80.15957,140.59176,94.99003
21/06/2005,80.573,140.39346,95.62484
22/06/2005,80.15809,141.06613,96.26751
23/06/2005,80.1612,139.78557,96.73747
24/06/2005,80.15566,139.20534,95.80899
25/06/2005,80.16036,139.22395,95.65457
26/06/2005,80.15494,138.53224,95.48801
27/06/2005,80.15613,140.02522,95.64672
28/06/2005,80.16032,140.61087,95.45772
29/06/2005,80.16147,140.46661,97.428
30/06/2005,80.1597,139.73563,97.31579
01/07/2005,80.16119,139.07911,96.70552
02/07/2005,80.15984,139.0802,96.01669
03/07/2005,80.16099,140.06508,96.01744
04/07/2005,80.56207,139.5919,96.33182
05/07/2005,80.16126,139.57123,96.22743
06/07/2005,80.16128,138.39583,97.21571
07/07/2005,80.16041,141.17899,96.5364
08/07/2005,80.16087,140.47461,98.23691
09/07/2005,80.1615,140.36533,98.55027
10/07/2005,80.15628,139.9421,97.7026
11/07/2005,80.15613,140.63583,97.17221
12/07/2005,80.15807,140.605,97.36758
13/07/2005,80.15976,140.94721,97.1495
14/07/2005,80.16068,142.03055,97.67444
15/07/2005,80.16127,142.92201,98.1802
16/07/2005,80.16295,143.38073,99.10083
17/07/2005,80.16848,142.54781,98.97368
18/07/2005,80.17092,143.40617,98.51732
19/07/2005,80.1762,143.18218,99.32992
20/07/2005,80.17931,143.10468,99.24454
21/07/2005,80.17983,143.09622,99.47335
22/07/2005,80.18515,144.39747,99.71356
23/07/2005,80.18608,149.27426,100.4898
24/07/2005,80.18665,148.44172,102.18059
25/07/2005,80.18237,151.22774,101.52657
26/07/2005,80.17817,150.82916,103.27455
27/07/2005,80.17518,151.96673,102.71488
28/07/2005,80.17493,150.19507,103.36367
29/07/2005,80.16737,150.72733,102.30806
30/07/2005,80.168,149.969,102.79888
31/07/2005,80.17308,149.10854,102.44835
01/08/2005,80.16943,150.97138,102.18997
02/08/2005,80.17588,150.89644,103.3519
03/08/2005,80.1771,150.35082,103.71625
04/08/2005,80.1766,148.85292,103.61973
05/08/2005,80.17245,148.42087,102.54633
06/08/2005,80.16132,147.89408,102.37055
07/08/2005,80.16303,147.9185,101.45019
08/08/2005,80.16157,147.2328,101.38631
09/08/2005,80.16747,147.3848,101.96617
10/08/2005,80.17025,147.38554,100.79539
11/08/2005,80.17,148.56209,100.7959
12/08/2005,80.17069,148.5632,101.41988
13/08/2005,80.17116,147.6941,101.42064
14/08/2005,80.17243,147.95363,100.73951
15/08/2005,80.17263,147.89633,101.17995
16/08/2005,80.17469,145.81378,101.46777
17/08/2005,80.17451,146.06611,100.38126
18/08/2005,80.17491,145.68272,100.96112
19/08/2005,80.17382,146.9088,100.60133
20/08/2005,80.14442,147.93585,101.89173
21/08/2005,80.16832,147.90636,100.78591
22/08/2005,80.17429,147.17293,102.74393
23/08/2005,80.17365,147.25445,102.17203
24/08/2005,80.57191,148.35236,102.39744
25/08/2005,80.17032,147.45578,102.62161
26/08/2005,80.17241,147.978,101.91702
27/08/2005,80.1732,147.2328,102.26252
28/08/2005,80.17289,147.36932,101.96617
29/08/2005,80.17334,147.19271,101.51734
30/08/2005,80.17474,146.08667,101.28469
31/08/2005,80.17265,146.49545,100.49121
01/09/2005,80.17338,147.80226,100.17043
02/09/2005,80.17313,148.22665,100.96414
03/09/2005,80.17387,148.43609,101.18024
04/09/2005,80.17446,149.19211,101.46954
05/09/2005,80.17469,149.07634,102.09105
06/09/2005,80.17481,149.48485,101.69325
07/09/2005,80.17469,149.52479,102.25421
08/09/2005,80.17489,150.2634,102.12583
09/09/2005,80.17483,151.21696,102.60972
10/09/2005,80.17481,151.62586,102.62582
11/09/2005,80.17452,151.62855,102.44947
12/09/2005,80.17505,152.74211,102.45129
13/09/2005,80.17202,153.12073,102.92375
14/09/2005,80.17443,151.98206,103.38195
15/09/2005,80.17423,151.34046,102.47585
16/09/2005,80.17415,151.38105,102.11492
17/09/2005,80.15758,151.22054,101.95492
18/09/2005,80.17016,151.91804,103.18144
19/09/2005,80.17018,151.75747,103.37385
20/09/2005,80.1716,151.69321,102.54793
21/09/2005,80.17117,151.55696,102.78837
22/09/2005,80.17212,151.9419,102.3715
23/09/2005,80.57191,152.91055,102.7083
24/09/2005,80.172,152.59144,103.21242
25/09/2005,80.17188,152.78999,102.7084
26/09/2005,80.17215,152.31785,103.116
